"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GF1","KA1","EQD"
"04065099999","1916-01-23T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0226,1","99999,9,9,N","999999,9,N,9","+0022,1","+9999,9","99999,9","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-23T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0190,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","99999,9","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0022,1","Q01 104343APOSLP"
"04065099999","1916-01-24T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","09680,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0050,1",
"04065099999","1916-01-24T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0050,1","+9999,9","09734,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-24T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0050,1","+9999,9","09699,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,-0039,1",
"04065099999","1916-01-25T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","360,1,N,0067,1","99999,9,9,N","999999,9,N,9","-0050,1","+9999,9","09725,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0061,1",
"04065099999","1916-01-25T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0123,1","99999,9,9,N","999999,9,N,9","-0061,1","+9999,9","09753,1","08,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-25T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0154,1","99999,9,9,N","999999,9,N,9","-0039,1","+9999,9","09852,2","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,-0022,1","Q01+098523APOSLP"
"04065099999","1916-01-26T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","340,1,N,0067,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","09957,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0061,1",
"04065099999","1916-01-26T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","200,1,N,0093,1","22000,1,C,N","999999,9,N,9","-0022,1","+9999,9","09963,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-26T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","160,1,N,0067,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","09917,1","08,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0000,1",
"04065099999","1916-01-27T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0093,1","22000,1,C,N","999999,9,N,9","+0000,1","+9999,9","09885,1","04,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0028,1",
"04065099999","1916-01-27T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0093,1","22000,1,C,N","999999,9,N,9","+0011,1","+9999,9","09885,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-27T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0093,1","99999,9,9,N","999999,9,N,9","+0011,1","+9999,9","09939,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0022,1",
"04065099999","1916-01-28T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","250,1,N,0093,1","22000,1,C,N","999999,9,N,9","+0022,1","+9999,9","09826,1","04,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0011,1",
"04065099999","1916-01-28T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","250,1,N,0093,1","22000,1,C,N","999999,9,N,9","+0039,1","+9999,9","09750,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-28T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0123,1","22000,1,C,N","999999,9,N,9","+0022,1","+9999,9","09780,1","04,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0050,1",
"04065099999","1916-01-29T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0093,1","22000,1,C,N","999999,9,N,9","+0000,1","+9999,9","09885,1","04,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0011,1",
"04065099999","1916-01-29T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0093,1","22000,1,C,N","999999,9,N,9","-0011,1","+9999,9","09923,1","04,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-29T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0093,1","99999,9,9,N","999999,9,N,9","-0022,1","+9999,9","09970,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0028,1",
"04065099999","1916-01-30T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","200,1,N,0190,1","99999,9,9,N","999999,9,N,9","+0028,1","+9999,9","09891,1","07,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,-0028,1",
"04065099999","1916-01-30T15:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0190,1","99999,9,9,N","999999,9,N,9","+0072,1","+9999,9","99999,9","06,99,1,99,9,99,9,99999,9,99,9,99,9",,
"04065099999","1916-01-30T21:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0190,1","99999,9,9,N","999999,9,N,9","+0072,1","+9999,9","09870,1","06,99,1,99,9,99,9,99999,9,99,9,99,9","999,M,+0078,1",
"04065099999","1916-01-31T09:00:00","4","66.5333333","-18.0166667","16.0","GRIMSEY ISLAND, IC","FM-12","99999","V020","270,1,N,0123,1","22000,1,C,N","999999,9,N,9","+0022,1","+9999,9","09949,1","02,99,1,99,9,99,9,99999,9,99,9,99,9","999,N,+0000,1",
